,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
2982,Kepler-1845 b,2.44378,6.5154741,1.6328337,693.42434
2983,Kepler-1846 b,1.75997,3.7503704,1.4597701,642.62376
2985,Kepler-1848 b,1.41246,2.5680503,1.3483843,902.54013
2986,Kepler-1849 b,2.38773,6.2929945,1.6234393,385.68677
2987,Kepler-185 b,1.16584,1.7067364,1.2099398,1335.0085
2988,Kepler-185 c,2.0178,4.7356372,1.5319696,577.38211
2989,Kepler-1850 b,0.72865,0.31147144,0.6538071,1257.5843
2991,Kepler-1852 b,1.88328,4.2271124,1.4981816,812.81785
2992,Kepler-1853 b,1.51335,2.9176611,1.3885059,425.42006
2995,Kepler-1856 b,1.73755,3.655022,1.4503618,1621.8157
2997,Kepler-1858 b,2.42136,6.4519085,1.6323543,370.75131
3018,Kepler-1872 b,2.38773,6.2612117,1.6193346,997.11269
3019,Kepler-1873 b,1.62545,3.2736284,1.4191486,2008.4718
3020,Kepler-1874 b,2.20837,5.5302073,1.5824674,402.24929
3028,Kepler-1880 b,2.11869,5.1170308,1.5540869,798.49801
3038,Kepler-189 b,1.21068,1.9260377,1.261298,749.42708
3039,Kepler-189 c,2.37652,22.565788,3.0814457,600.63472
3045,Kepler-1895 b,2.11869,5.1488136,1.5589058,1016.3263
3049,Kepler-1899 b,1.54698,3.0257226,1.3985313,914.1398
3053,Kepler-190 b,1.55819,3.0543271,1.400063,1288.7245
3054,Kepler-190 c,1.4573,2.7301425,1.3687312,1052.2392
3062,Kepler-1907 b,0.87438,0.58798181,0.82003395,844.68833
3063,Kepler-1907 c,1.15463,1.6304577,1.1883198,612.08901
3064,Kepler-1909 b,1.08737,1.3316993,1.1066605,1180.6196
3065,Kepler-191 b,1.3452,2.3582838,1.3240507,768.61896
3066,Kepler-191 c,1.86086,4.131764,1.4900845,633.67378
3067,Kepler-191 d,2.27563,5.8162525,1.5987141,926.31204
3068,Kepler-1910 b,1.18826,1.7798368,1.2238674,728.85028
3087,Kepler-1926 b,2.32047,5.9751665,1.6046748,422.96623
3093,Kepler-1930 b,1.52456,2.9526221,1.3916553,671.98377
3095,Kepler-1932 b,1.51335,2.9049479,1.3854775,2118.4497
3101,Kepler-1938 b,1.82723,4.0046328,1.4804193,646.20349
3102,Kepler-1939 b,1.16584,1.6781319,1.1997578,988.77502
3111,Kepler-1945 b,1.28915,2.2089046,1.3089913,913.55259
3121,Kepler-1953 b,1.28915,2.1993698,1.3061631,812.59917
3124,Kepler-1956 b,1.08737,1.3221645,1.1026916,664.45645
3125,Kepler-1957 b,0.94164,0.78821345,0.91491231,1177.2945
3127,Kepler-1959 b,1.14342,1.5700703,1.1718085,881.71481
3128,Kepler-196 b,1.9057,4.2588952,1.4949312,617.70509
3129,Kepler-196 c,2.242,5.6573385,1.5885039,468.39807
3135,Kepler-1964 b,1.78239,3.813936,1.4628013,1115.046
3137,Kepler-1966 b,1.10979,1.3889084,1.1187071,751.55099
3138,Kepler-1967 b,0.72865,0.31464972,0.65713438,765.73245
3139,Kepler-1968 b,1.50214,2.8572737,1.3791793,750.18107
3162,Kepler-202 b,1.62545,3.3054112,1.4260211,939.43008
3163,Kepler-202 c,1.84965,4.0681984,1.4830517,592.83181
3186,Kepler-211 b,1.25552,2.1262693,1.3013596,1035.3808
3187,Kepler-211 c,1.28915,18.434024,3.7814499,911.01363
3210,Kepler-220 b,0.80712,0.45767232,0.75302305,909.05844
3211,Kepler-220 c,1.5694,3.0892882,1.4030152,707.23529
