,P_NAME,P_RADIUS,P_DENSITY,P_ESCAPE,P_TEMP_SURF
2365,Kepler-1371 c,0.63897,0.75533992,0.55533071,1550.9416
2366,Kepler-1372 b,1.26673,1.0601558,1.3042742,1870.1012
2367,Kepler-1373 b,1.15463,1.0757253,1.1975496,2887.7729
2368,Kepler-1374 b,2.28684,0.48899299,1.5991423,768.33281
2369,Kepler-1375 b,1.73755,0.70281045,1.456654,2127.9444
2370,Kepler-1376 b,1.05374,0.98876512,1.047804,1129.4581
2371,Kepler-1377 b,1.25552,1.0599007,1.2925764,1965.0563
2372,Kepler-1378 b,2.19716,0.51538948,1.577355,575.10757
2373,Kepler-1379 b,1.30036,1.0190382,1.3126799,1744.7076
2375,Kepler-138 c,1.19947,1.1418674,1.281732,473.04596
2376,Kepler-138 d,1.21068,0.35999802,0.726406,398.26165
2377,Kepler-1380 b,1.43488,0.89186668,1.3550819,1247.4871
2378,Kepler-1381 b,2.25321,0.49732487,1.5889922,647.0664
2379,Kepler-1382 b,1.88328,0.62808931,1.4925387,1067.3016
2380,Kepler-1383 b,1.41246,0.91245657,1.3492184,1162.0206
2381,Kepler-1384 b,1.93933,0.60569196,1.5093071,628.71167
2382,Kepler-1385 b,0.85196,0.87888216,0.79870156,1829.9814
2383,Kepler-1386 b,1.24431,1.0739582,1.2895028,1109.0887
2384,Kepler-1387 b,0.93043,0.9312216,0.89786332,1183.8314
2386,Kepler-1388 c,2.26442,0.49271265,1.5894755,667.78559
2388,Kepler-1388 e,2.45499,0.44679295,1.6409785,352.65296
2389,Kepler-1389 b,1.77118,0.68069258,1.461296,340.15069
2392,Kepler-1390 b,1.17705,1.077786,1.2219718,1055.7029
2393,Kepler-1391 b,1.6815,0.72866521,1.4353602,704.1054
2394,Kepler-1392 b,1.96175,0.5977912,1.5167654,730.5161
2395,Kepler-1393 b,0.79591,0.86361631,0.7396468,1709.6443
2396,Kepler-1394 b,1.39004,0.93484014,1.3439898,1947.934
2397,Kepler-1395 b,0.79591,0.86361631,0.7396468,1518.2988
2398,Kepler-1396 b,2.07385,0.55232135,1.5412506,862.93495
2399,Kepler-1397 b,1.71513,0.71183521,1.4470608,792.62374
2400,Kepler-1398 b,0.8968,0.92538968,0.86269628,1739.1125
2401,Kepler-1398 c,1.03132,0.98512366,1.0236201,1524.7043
2402,Kepler-1399 b,1.25552,1.0599007,1.2925764,1741.8718
2404,Kepler-140 b,1.61424,0.76314878,1.410174,1567.1641
2405,Kepler-140 c,1.80481,0.66497114,1.4717461,516.67869
2406,Kepler-1400 b,1.62545,0.75486881,1.4122428,742.92253
2407,Kepler-1401 b,1.6815,0.72866521,1.4353602,998.77672
2408,Kepler-1402 b,0.76228,0.81800024,0.68943169,2075.1179
2409,Kepler-1403 b,2.14111,0.53103001,1.5602655,1408.9018
2410,Kepler-1404 b,2.00659,0.58220769,1.5310791,687.77693
2412,Kepler-1406 b,1.09858,1.030779,1.1153585,989.83349
2413,Kepler-1407 b,2.25321,0.49732487,1.5889922,867.73228
2414,Kepler-1408 b,0.88559,0.919793,0.84933252,1947.7188
2415,Kepler-1409 b,1.04253,0.98734546,1.0359126,1830.4123
2416,Kepler-141 b,0.69502,0.76680558,0.6086112,1127.0376
2417,Kepler-141 c,1.41246,0.91245657,1.3492184,859.87103
2418,Kepler-1410 b,1.78239,0.67354279,1.4628013,292.95272
2420,Kepler-1412 b,0.82954,0.87413762,0.77558114,1670.5915
2421,Kepler-1413 b,1.81602,0.66334626,1.479077,703.62639
2422,Kepler-1414 b,1.2331,1.0882591,1.2863657,1067.2494
2423,Kepler-1415 b,1.28915,1.0325023,1.3099327,2020.8751
2424,Kepler-1416 b,0.88559,0.88318432,0.83225877,2113.5093
2425,Kepler-1417 b,0.99769,0.97932473,0.98732238,954.7747
2426,Kepler-1418 b,1.65908,0.7446873,1.4317075,557.6158
2428,Kepler-142 b,1.99538,0.58007388,1.5197329,1710.5892
2430,Kepler-142 d,2.16353,0.52410688,1.5662924,622.03244
2431,Kepler-1420 b,1.27794,1.0462067,1.3071313,971.87287
2432,Kepler-1421 b,0.93043,0.9312216,0.89786332,1471.4423
2433,Kepler-1422 b,2.0178,0.57642667,1.5319696,961.21359
2434,Kepler-1423 b,1.06495,0.99207807,1.0607234,535.57356
2435,Kepler-1424 b,1.15463,1.0757253,1.1975496,779.55639
2436,Kepler-1425 b,0.94164,0.93261746,0.90936173,1122.9801
2437,Kepler-1426 b,1.55819,0.80733597,1.400063,852.10941
2438,Kepler-1427 b,1.09858,1.030779,1.1153585,2068.891
2439,Kepler-1428 b,1.63666,0.76121274,1.427945,1522.3788
2440,Kepler-1429 b,1.28915,1.0325023,1.3099327,1328.2792
2441,Kepler-143 b,2.41015,0.45630581,1.6280662,956.2443
2443,Kepler-1430 b,1.17705,1.077786,1.2219718,1031.6537
2444,Kepler-1431 b,1.46851,0.87212996,1.3714106,1299.9697
2445,Kepler-1432 b,2.21958,0.50864853,1.5829956,904.70668
2446,Kepler-1433 b,1.55819,0.80733597,1.400063,1460.1446
2447,Kepler-1434 b,1.10979,1.0324112,1.1276314,1580.5271
2448,Kepler-1435 b,0.86317,0.87967681,0.80957653,1612.0347
2449,Kepler-1436 b,1.31157,1.00581,1.3153746,1515.0155
2450,Kepler-1437 b,1.36762,0.95796624,1.3385683,1119.1298
2451,Kepler-1438 b,0.94164,0.93261746,0.90936173,1660.2851
2452,Kepler-1439 b,1.4573,0.88214185,1.3687312,485.3751
2453,Kepler-144 b,1.33399,0.98138272,1.321514,1317.3426
2454,Kepler-144 c,1.3452,0.98185966,1.332943,1103.8417
2455,Kepler-1440 b,1.25552,1.0743539,1.3013596,749.59294
2456,Kepler-1441 b,1.31157,1.00581,1.3153746,716.23694
2458,Kepler-1443 b,0.97527,0.93878928,0.94495021,2071.5566
2459,Kepler-1444 b,2.17474,0.52531409,1.5762201,648.7587
2460,Kepler-1445 b,0.96406,0.93644848,0.93292345,1136.4924
2461,Kepler-1446 b,0.81833,0.86995742,0.76326873,1665.7551
2463,Kepler-1448 b,1.61424,0.76314878,1.410174,850.1154
2464,Kepler-1449 b,1.6815,0.72866521,1.4353602,1124.6491
2467,Kepler-1450 b,1.71513,0.70553579,1.4406436,377.37632
2471,Kepler-1454 b,1.88328,0.62808931,1.4925387,502.23125
2472,Kepler-1455 b,2.16353,0.52410688,1.5662924,321.81221
2473,Kepler-1456 b,1.14342,1.0396416,1.1658633,492.94391
2474,Kepler-1457 b,1.99538,0.58007388,1.5197329,630.41684
2476,Kepler-1459 b,1.35641,0.9691787,1.3353433,400.3172
2479,Kepler-1460 b,1.96175,0.5977912,1.5167654,440.57409
2480,Kepler-1461 b,2.02901,0.5707302,1.5328498,479.27928
2482,Kepler-1463 b,1.86086,0.64120132,1.4900845,737.07896
2483,Kepler-1464 b,1.65908,0.7446873,1.4317075,867.90633
2484,Kepler-1464 c,0.99769,0.97932473,0.98732238,1574.2744
2485,Kepler-1465 b,1.77118,0.68069258,1.461296,448.93329
2486,Kepler-1466 b,1.54698,0.81642929,1.3977966,644.31183
