P_NAME,P_RADIUS in MU,P_DENSITY in MU,P_ESCAPE in MU
K2-368 c,2.5592641509433958,1.3668341690140846,2.969378444444444
K2-368 d,3.6802641509433958,0.8444953380281691,3.3563724444444443
K2-369 b,2.4746603773584903,1.4225860563380281,2.929189111111111
K2-37 b,3.0457358490566033,1.0748574366197183,3.13372
K2-373 b,3.89177358490566,0.7855687887323943,3.423199555555555
K2-374 b,3.003433962264151,1.1053791690140846,3.133763777777778
K2-374 c,4.166735849056604,0.7232151830985917,3.5165942222222224
K2-375 b,4.230188679245283,0.7070448873239437,3.530008666666667
K2-376 b,3.278396226415094,0.9813404788732394,3.2230262222222223
K2-377 b,3.193792452830188,1.0152635915492958,3.1936595555555556
K2-379 b,4.124433962264151,0.7285545211267606,3.4937184444444442
K2-38 b,3.5956603773584903,3.8808016901408453,7.029621111111111
K2-38 c,4.568603773584905,0.982231295774648,4.493480888888889
K2-381 b,2.0304905660377357,1.4223236619718311,2.4032155555555557
K2-381 c,3.7648679245283017,0.8282745070422535,3.400395333333333
K2-381 d,3.193792452830188,1.0152635915492958,3.1936595555555556
K2-382 b,3.912924528301887,0.7829362112676056,3.436032
K2-383 b,2.961132075471698,1.1175325352112677,3.1065646666666664
K2-384 b,2.0304905660377357,1.4295071830985917,2.4092766666666665
K2-384 c,2.242,1.526143661971831,2.748690444444444
K2-384 d,2.622716981132075,1.32000961971831,2.990422222222222
K2-384 e,2.5381132075471697,1.3737061126760564,2.952231777777778
K2-384 f,4.18788679245283,0.7164063802816901,3.5177680000000002
K2-385 b,2.897679245283019,1.1604351126760564,3.097799333333333
K2-386 b,4.378245283018868,0.6771232676056338,3.5754153333333334
K2-389 b,4.124433962264151,0.7285545211267606,3.4937184444444442
K2-389 c,3.8494716981132076,0.8012100563380282,3.4195335555555553
K2-391 b,2.5804150943396227,1.3509982253521127,2.9765246666666663
K2-392 b,3.4899056603773584,0.9054721690140846,3.2956704444444447
K2-393 b,4.441698113207547,0.6622415070422536,3.5871517777777777
K2-394 b,3.193792452830188,1.0152635915492958,3.1936595555555556
K2-396 b,2.9822830188679244,1.1120610704225353,3.121085777777778
K2-397 b,4.568603773584905,0.6369525492957746,3.6185082222222222
K2-398 b,4.293641509433962,0.6913536197183099,3.542977777777778
K2-4 b,3.9552264150943395,0.7726614929577464,3.4503131111111114
K2-400 b,2.199698113207547,1.4831198591549297,2.6585433333333333
K2-401 b,4.272490566037735,0.6978168169014084,3.5419657777777775
K2-407 b,2.4112075471698113,1.4799652112676056,2.9110715555555555
K2-407 c,2.5592641509433958,1.3650404225352113,2.9674295555555554
K2-408 b,3.172641509433962,1.026289028169014,3.1896893333333334
K2-409 b,4.674358490566037,0.6211873521126761,3.6561655555555554
K2-411 b,1.8612830188679246,1.3755961971830986,2.1664587777777777
K2-412 b,3.997528301886792,0.7578049436619718,3.453526444444444
K2-413 b,1.438264150943396,1.152113014084507,1.5320704222222223
K2-413 c,2.326603773584906,1.537534225352113,2.8630395555555554
K2-414 b,2.305452830188679,1.526257605633803,2.826589333333333
K2-414 c,3.6379622641509433,0.8618083802816902,3.35163
K2-42 b,4.060981132075471,0.7452832676056338,3.4792384444444444
K2-43 c,4.568603773584905,0.6401057887323944,3.627454
K2-44 b,4.589754716981132,0.6344069577464789,3.6279891111111113
K2-46 b,3.8706226415094336,0.7933322816901408,3.4213768888888887
K2-47 b,3.574509433962264,0.8756055352112676,3.3194277777777774
K2-48 b,4.230188679245283,0.7070448873239437,3.530008666666667
K2-49 b,3.6379622641509433,0.8618083802816902,3.35163
K2-5 b,3.5956603773584903,0.8796483943661972,3.346769111111111
K2-5 c,4.272490566037735,0.6939614788732394,3.5321677777777776
K2-50 b,3.003433962264151,1.1020497042253523,3.1290406666666666
K2-54 b,2.1785471698113206,1.4685767605633804,2.6200395555555556
K2-57 b,3.9552264150943395,0.7726614929577464,3.4503131111111114
K2-58 c,3.0668867924528302,1.0631955070422534,3.138317333333333
K2-58 d,3.2360943396226416,0.9937123802816902,3.201430222222222
K2-59 b,4.5474528301886785,0.6426842394366197,3.6179248888888886
K2-59 c,4.335943396226415,0.6860698450704226,3.5641855555555555
K2-6 b,4.71666037735849,0.6132197746478874,3.665516888888889
K2-61 b,4.674358490566037,0.6211873521126761,3.6561655555555554
K2-62 b,4.039830188679245,0.7479295915492958,3.4672566666666667
K2-62 c,4.039830188679245,0.7479295915492958,3.4672566666666667
K2-64 b,3.912924528301887,0.7779173943661973,3.425001333333333
K2-65 b,2.9822830188679244,1.113194676056338,3.122676222222222
K2-66 b,4.695509433962264,1.9465360563380283,6.5013939999999995
K2-68 b,2.9822830188679244,1.113194676056338,3.122676222222222
K2-69 b,4.378245283018868,0.6771232676056338,3.5754153333333334
K2-71 b,4.060981132075471,0.7452832676056338,3.4792384444444444
K2-72 b,2.0304905660377357,1.4474657746478874,2.424363111111111
K2-72 c,2.1785471698113206,1.5151060563380283,2.6612213333333337
K2-72 d,1.903584905660377,1.3818111830985917,2.220696133333333
K2-72 e,2.432358490566038,1.4542285915492958,2.9109615555555557
K2-73 b,4.632056603773584,0.6262604225352113,3.637842444444444
K2-74 b,4.357094339622641,0.6797620422535212,3.565069111111111
